,name,label,h,s,v,H,H120,H240
0,Buff Titanium,3,21.333333333333332,76.49074074074075,247.02777777777777,253.28050108932462,253.28050108932462,253.28050108932462
1,Buff Titanium,3,21.296296296296298,76.37037037037037,246.36111111111111,253.13671023965142,253.13671023965142,253.13671023965142
2,Buff Titanium,3,21.287037037037038,76.07407407407408,247.37962962962962,253.3563907044299,253.3563907044299,253.3563907044299
3,Buff Titanium,3,21.296296296296298,76.14814814814815,247.30555555555554,253.34041394335512,253.34041394335512,253.34041394335512
4,Buff Titanium,3,21.416666666666668,76.24074074074075,246.5185185185185,253.17066085693537,253.17066085693537,253.17066085693537
5,Buff Titanium,3,21.40740740740741,75.92592592592592,247.57407407407408,253.39832970225126,253.39832970225126,253.39832970225126
6,Buff Titanium,3,21.416666666666668,76.00925925925925,247.32407407407408,253.34440813362383,253.34440813362383,253.34440813362383
7,Buff Titanium,3,21.462962962962962,76.26851851851852,246.39814814814815,253.14469862018882,253.14469862018882,253.14469862018882
8,Buff Titanium,3,21.25,75.57407407407408,248.2314814814815,253.54012345679013,253.54012345679013,253.54012345679013
9,Buff Titanium,3,21.25925925925926,76.02777777777777,246.7314814814815,253.21659404502543,253.21659404502543,253.21659404502543
10,Buff Titanium,3,21.333333333333332,75.5925925925926,247.7314814814815,253.4322803195352,253.4322803195352,253.4322803195352
11,Buff Titanium,3,21.34259259259259,75.62037037037037,247.71296296296296,253.42828612926652,253.42828612926652,253.42828612926652
12,Buff Titanium,3,21.50925925925926,75.62962962962963,246.87037037037038,253.24655047204067,253.24655047204067,253.24655047204067
13,Buff Titanium,3,21.546296296296298,75.45370370370371,247.4351851851852,253.36837327523602,253.36837327523602,253.36837327523602
14,Buff Titanium,3,21.574074074074073,75.52777777777777,246.8148148148148,253.23456790123458,253.23456790123458,253.23456790123458
15,Buff Titanium,3,21.583333333333332,75.9074074074074,245.86111111111111,253.0288671023965,253.0288671023965,253.0288671023965
16,Buff Titanium,3,21.74074074074074,75.14814814814815,247.16666666666666,253.31045751633985,253.31045751633985,253.31045751633985
17,Buff Titanium,3,21.805555555555557,75.18518518518519,246.59259259259258,253.18663761801017,253.18663761801017,253.18663761801017
18,Buff Titanium,3,21.833333333333332,75.07407407407408,246.71296296296296,253.21259985475672,253.21259985475672,253.21259985475672
19,Buff Titanium,3,21.87037037037037,74.80555555555556,247.3148148148148,253.34241103848947,253.34241103848947,253.34241103848947
20,Buff Titanium,3,22.055555555555557,74.57407407407408,247.2037037037037,253.31844589687728,253.31844589687728,253.31844589687728
21,Buff Titanium,3,22.074074074074073,74.75925925925925,246.65740740740742,253.20061728395063,253.20061728395063,253.20061728395063
22,Cobalt Violet,30,161.87037037037038,76.42592592592592,251.10185185185185,254.15922294843864,254.15922294843864,254.15922294843864
23,Cobalt Violet,30,162.1851851851852,76.23148148148148,249.37037037037038,253.78576615831517,253.78576615831517,253.78576615831517
24,Cobalt Violet,30,162.12037037037038,74.72222222222223,249.84259259259258,253.88761801016702,253.88761801016702,253.88761801016702
25,Cobalt Violet,30,162.08333333333334,75.05555555555556,248.1851851851852,253.53013798111837,253.53013798111837,253.53013798111837
26,Cobalt Violet,30,162.17592592592592,74.12962962962963,248.22222222222223,253.53812636165577,253.53812636165577,253.53812636165577
27,Cobalt Violet,30,162.3148148148148,74.77777777777777,248.83333333333334,253.66993464052288,253.66993464052288,253.66993464052288
28,Cobalt Violet,30,162.7962962962963,75.93518518518519,248.6851851851852,253.63798111837326,253.63798111837326,253.63798111837326
29,Cobalt Violet,30,162.50925925925927,74.78703703703704,251.10185185185185,254.15922294843864,254.15922294843864,254.15922294843864
30,Cobalt Violet,30,162.62037037037038,75.99074074074075,248.37037037037038,253.57007988380536,253.57007988380536,253.57007988380536
31,Cobalt Violet,30,162.28703703703704,76.46296296296296,247.61111111111111,253.4063180827887,253.4063180827887,253.4063180827887
