,name,label,h,s,v,H,H120,H240
0,Imperial Purple,1,127.98148148148148,126.98148148148148,143.60185185185185,127.98148148148148,7.981481481481481,67.98148148148148
1,Imperial Purple,1,127.94444444444444,126.28703703703704,144.25,127.94444444444444,7.944444444444443,67.94444444444444
2,Imperial Purple,1,127.98148148148148,126.56481481481481,144.00925925925927,127.98148148148148,7.981481481481481,67.98148148148148
3,Imperial Purple,1,127.96296296296296,126.50925925925925,143.9814814814815,127.96296296296296,7.962962962962962,67.96296296296296
4,Imperial Purple,1,128.2314814814815,126.58333333333333,144.25925925925927,128.2314814814815,8.231481481481495,68.2314814814815
5,Imperial Purple,1,128.21296296296296,127.1574074074074,143.55555555555554,128.21296296296296,8.212962962962962,68.21296296296296
6,Imperial Purple,1,128.2314814814815,127.75,142.89814814814815,128.2314814814815,8.231481481481495,68.2314814814815
7,Imperial Purple,1,128.21296296296296,127.06481481481481,143.71296296296296,128.21296296296296,8.212962962962962,68.21296296296296
8,Imperial Purple,1,128.49074074074073,127.42592592592592,143.24074074074073,128.49074074074073,8.490740740740733,68.49074074074073
9,Imperial Purple,1,128.47222222222223,125.88888888888889,144.82407407407408,128.47222222222223,8.472222222222229,68.47222222222223
10,Imperial Purple,1,128.59259259259258,125.38888888888889,145.67592592592592,128.59259259259258,8.592592592592581,68.59259259259258
11,Imperial Purple,1,128.59259259259258,125.12037037037037,145.97222222222223,128.59259259259258,8.592592592592581,68.59259259259258
12,Imperial Purple,1,128.75,124.24074074074075,146.34259259259258,128.75,8.75,68.75
13,Imperial Purple,1,128.7314814814815,123.94444444444444,146.57407407407408,128.7314814814815,8.731481481481495,68.7314814814815
14,Imperial Purple,1,128.75,123.83333333333333,146.83333333333334,128.75,8.75,68.75
15,Imperial Purple,1,128.75925925925927,122.51851851851852,146.78703703703704,128.75925925925927,8.759259259259267,68.75925925925927
16,Imperial Purple,1,129.2962962962963,122.25,147.16666666666666,129.2962962962963,9.296296296296305,69.2962962962963
17,Imperial Purple,1,129.2962962962963,120.45370370370371,148.2685185185185,129.2962962962963,9.296296296296305,69.2962962962963
18,Imperial Purple,1,129.2962962962963,119.87962962962963,148.87037037037038,129.2962962962963,9.296296296296305,69.2962962962963
19,Imperial Purple,1,129.2962962962963,121.38888888888889,147.0462962962963,129.2962962962963,9.296296296296305,69.2962962962963
20,Imperial Purple,1,129.2962962962963,121.45370370370371,147.10185185185185,129.2962962962963,9.296296296296305,69.2962962962963
21,Imperial Purple,1,129.2962962962963,120.61111111111111,148.0185185185185,129.2962962962963,9.296296296296305,69.2962962962963
22,Imperial Purple,1,129.2962962962963,121.47222222222223,147.75,129.2962962962963,9.296296296296305,69.2962962962963
23,Imperial Purple,1,129.2962962962963,120.74074074074075,148.67592592592592,129.2962962962963,9.296296296296305,69.2962962962963
24,Imperial Purple,1,129.2962962962963,121.68518518518519,148.0462962962963,129.2962962962963,9.296296296296305,69.2962962962963
25,Imperial Purple,1,129.2962962962963,121.82407407407408,147.80555555555554,129.2962962962963,9.296296296296305,69.2962962962963
26,Imperial Purple,1,129.2962962962963,121.63888888888889,148.05555555555554,129.2962962962963,9.296296296296305,69.2962962962963
27,Imperial Purple,1,129.2962962962963,121.11111111111111,148.72222222222223,129.2962962962963,9.296296296296305,69.2962962962963
28,Imperial Purple,1,129.2962962962963,122.00925925925925,148.0648148148148,129.2962962962963,9.296296296296305,69.2962962962963
29,Imperial Purple,1,129.2962962962963,121.4074074074074,148.7685185185185,129.2962962962963,9.296296296296305,69.2962962962963
30,Imperial Purple,1,129.2962962962963,122.55555555555556,147.33333333333334,129.2962962962963,9.296296296296305,69.2962962962963
31,Imperial Purple,1,129.25925925925927,122.21296296296296,148.15740740740742,129.25925925925927,9.259259259259267,69.25925925925927
32,Imperial Purple,1,129.25925925925927,122.62037037037037,149.36111111111111,129.25925925925927,9.259259259259267,69.25925925925927
33,Imperial Purple,1,129.25925925925927,124.20370370370371,147.69444444444446,129.25925925925927,9.259259259259267,69.25925925925927
34,Imperial Purple,1,129.25925925925927,123.11111111111111,149.13888888888889,129.25925925925927,9.259259259259267,69.25925925925927
35,Imperial Purple,1,129.25925925925927,121.87962962962963,150.47222222222223,129.25925925925927,9.259259259259267,69.25925925925927
36,Imperial Purple,1,129.25925925925927,122.99074074074075,149.24074074074073,129.25925925925927,9.259259259259267,69.25925925925927
37,Imperial Purple,1,129.25925925925927,122.87037037037037,149.2685185185185,129.25925925925927,9.259259259259267,69.25925925925927
38,Imperial Purple,1,129.25925925925927,122.10185185185185,150.39814814814815,129.25925925925927,9.259259259259267,69.25925925925927
39,Imperial Purple,1,129.25925925925927,122.88888888888889,149.4537037037037,129.25925925925927,9.259259259259267,69.25925925925927
40,Imperial Purple,1,129.25925925925927,122.70370370370371,149.69444444444446,129.25925925925927,9.259259259259267,69.25925925925927
41,Imperial Purple,1,129.25925925925927,123.9074074074074,148.11111111111111,129.25925925925927,9.259259259259267,69.25925925925927
42,Imperial Purple,1,129.25925925925927,122.95370370370371,149.32407407407408,129.25925925925927,9.259259259259267,69.25925925925927
43,Imperial Purple,1,129.25925925925927,121.08333333333333,151.49074074074073,129.25925925925927,9.259259259259267,69.25925925925927
44,Imperial Purple,1,129.25925925925927,121.0925925925926,151.57407407407408,129.25925925925927,9.259259259259267,69.25925925925927
45,Imperial Purple,1,129.25925925925927,121.63888888888889,150.8148148148148,129.25925925925927,9.259259259259267,69.25925925925927
46,Imperial Purple,1,129.25925925925927,122.54629629629629,149.7685185185185,129.25925925925927,9.259259259259267,69.25925925925927
47,Imperial Purple,1,129.25925925925927,123.72222222222223,147.65740740740742,129.25925925925927,9.259259259259267,69.25925925925927
48,Imperial Purple,1,129.40740740740742,122.23148148148148,149.58333333333334,129.40740740740742,9.407407407407419,69.40740740740742
49,Imperial Purple,1,129.4351851851852,121.96296296296296,149.07407407407408,129.4351851851852,9.43518518518519,69.43518518518519
50,Imperial Purple,1,129.41666666666666,122.54629629629629,148.5648148148148,129.41666666666666,9.416666666666657,69.41666666666666
51,Imperial Purple,1,129.41666666666666,123.05555555555556,147.80555555555554,129.41666666666666,9.416666666666657,69.41666666666666
52,Imperial Purple,1,129.40740740740742,123.35185185185185,147.92592592592592,129.40740740740742,9.407407407407419,69.40740740740742
53,Imperial Purple,1,129.40740740740742,122.91666666666667,148.49074074074073,129.40740740740742,9.407407407407419,69.40740740740742
54,Imperial Purple,1,129.40740740740742,122.39814814814815,149.36111111111111,129.40740740740742,9.407407407407419,69.40740740740742
55,Imperial Purple,1,129.40740740740742,121.81481481481481,149.9351851851852,129.40740740740742,9.407407407407419,69.40740740740742
56,Imperial Purple,1,129.40740740740742,121.97222222222223,150.3148148148148,129.40740740740742,9.407407407407419,69.40740740740742
57,Imperial Purple,1,129.40740740740742,121.56481481481481,150.7314814814815,129.40740740740742,9.407407407407419,69.40740740740742
58,Imperial Purple,1,129.40740740740742,121.92592592592592,150.32407407407408,129.40740740740742,9.407407407407419,69.40740740740742
59,Imperial Purple,1,129.40740740740742,122.04629629629629,149.97222222222223,129.40740740740742,9.407407407407419,69.40740740740742
60,Imperial Purple,1,129.41666666666666,121.87962962962963,150.67592592592592,129.41666666666666,9.416666666666657,69.41666666666666
61,Imperial Purple,1,129.41666666666666,122.28703703703704,150.12962962962962,129.41666666666666,9.416666666666657,69.41666666666666
62,Aussie Red Gold,2,17.38888888888889,175.71296296296296,193.2037037037037,17.38888888888889,77.38888888888889,137.38888888888889
63,Aussie Red Gold,2,17.435185185185187,176.25,192.6851851851852,17.435185185185187,77.43518518518519,137.4351851851852
